uid,name,sdn_type,programs,stratum,selection_hash,sentinel,source_dataset,source_record_id
4715,SHINING PATH,Entity,FTO|SDGT|SDNTK,SDNTK,175ba3ac67b46717,true,us_ofac_sdn,sdn:4715
6858,"CARO QUINTERO, Miguel Angel",Individual,SDNTK,SDNTK,2839d5f4d60f14e3,true,us_ofac_sdn,sdn:6858
6861,"GUZMAN LOERA, Joaquin",Individual,SDNTK,SDNTK,2bfd8e9d9b1e415a,true,us_ofac_sdn,sdn:6861
6939,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq",Individual,SDGT,REMAINDER,004b720c54aeeaef,true,us_ofac_sdn,sdn:6939
7157,"FARMACIA VIDA SUPREMA, S.A. DE C.V.",Entity,SDNTK,SDNTK,1c2228e8f397c8d3,true,us_ofac_sdn,sdn:7157
7160,GEX EXPLORE S. DE R.L. DE C.V.,Entity,SDNTK,SDNTK,0b2a3186249b8bbe,true,us_ofac_sdn,sdn:7160
7161,"OPERADORA VALPARK, S.A. DE C.V.",Entity,SDNTK,SDNTK,2aa82198ffce44b9,true,us_ofac_sdn,sdn:7161
7162,"VALPARK, S.A. DE C.V.",Entity,SDNTK,SDNTK,100bb757ff8d1e0e,true,us_ofac_sdn,sdn:7162
7163,"AGUILAR AMAO, Miguel",Individual,SDNTK,SDNTK,25a7fdc3e04ae228,true,us_ofac_sdn,sdn:7163
7167,"FREGOSO AMEZQUITA, Maria Antonieta",Individual,SDNTK,SDNTK,023fd0323a0cad1a,true,us_ofac_sdn,sdn:7167
7173,"MORENO MEDINA, Luis Ignacio",Individual,SDNTK,SDNTK,0c3e6b547701641b,true,us_ofac_sdn,sdn:7173
7790,"SIMATOVIC, Franko",Individual,BALKANS,REMAINDER,0061d01c14c0961c,true,us_ofac_sdn,sdn:7790
7820,"ESPARRAGOZA MORENO, Juan Jose",Individual,SDNTK,SDNTK,031b361c173d1ed1,true,us_ofac_sdn,sdn:7820
7843,"AL-TIKRITI, Saddam Hussein",Individual,IRAQ2,IRAQ2,9da369a1c302a520,true,us_ofac_sdn,sdn:7843
7844,"AL-TIKRITI, Qusay Saddam Hussein",Individual,IRAQ2,IRAQ2,78e707670c4d5ca4,true,us_ofac_sdn,sdn:7844
7847,"AL-TIKRITI, Ali Hassan al-Majid",Individual,IRAQ2,IRAQ2,4df1c86ffbaacd2d,true,us_ofac_sdn,sdn:7847
7848,"AL-DURI, Izzat Ibrahim",Individual,IRAQ2,IRAQ2,4798118740abc0b2,true,us_ofac_sdn,sdn:7848
7850,"AL-NUMAN, Aziz Salih",Individual,IRAQ2,IRAQ2,479fd8ab3a815bc0,true,us_ofac_sdn,sdn:7850
7854,"AL-TIKRITI, Muzahim Sa'b Hassan",Individual,IRAQ2,IRAQ2,8b7a5abf761f7464,true,us_ofac_sdn,sdn:7854
7856,"AL-RAWI, Saif-al-Din Fulayyih Hassan Taha",Individual,IRAQ2,IRAQ2,05596607f0692eda,true,us_ofac_sdn,sdn:7856
